queue_id,source_pack,publish_date,publish_window,channel,platform_hint,content_id,content_type,title,hook,caption,hashtags,cta_url,asset_note,manual_review_required,review_status,publish_status,published_url,impressions,clicks,love_test_starts,notes
day-002-overseas::day002-tt-01,assets/marketing/daily/day-002-overseas-publishing-pack.md,2026-06-10,morning,tiktok,tiktok,day002-tt-01,short_video,He went cold. Now what?,"Coldness is a signal, not a verdict.","He went cold, but panic does not need to lead. Pattern first. Private Love Test in bio.",relationshipadvice;mixedsignals;lovetest;situationship;relationshipclarity,https://tianji.love/love-test,Use synthetic or blurred phone UI only. Do not show real messages.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 002 checklist is clear.
day-002-overseas::day002-tt-02,assets/marketing/daily/day-002-overseas-publishing-pack.md,2026-06-10,noon,tiktok,tiktok,day002-tt-02,short_video,Stop rereading the chat,Stop rereading the chat for one second.,Private inputs. Share-safe result. No birth data.,overthinking;relationshipclarity;lovetest;privatetest;datingadvice,https://tianji.love/love-test,Use abstract chat bubbles or blurred synthetic UI only.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 002 checklist is clear.
day-002-overseas::day002-tt-03,assets/marketing/daily/day-002-overseas-publishing-pack.md,2026-06-10,afternoon,tiktok,tiktok,day002-tt-03,short_video,Should I text them?,Want to text them? Ask this first.,"Before you send it, check the state behind it.",shoulditextthem;datingadvice;relationshipboundaries;lovetest;situationship,https://tianji.love/love-test,Use typed-and-deleted synthetic message animation. Do not show real chats.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 002 checklist is clear.
day-002-overseas::day002-ig-01,assets/marketing/daily/day-002-overseas-publishing-pack.md,2026-06-10,evening,instagram_reels,instagram,day002-ig-01,short_video_repost,He went cold. Now what?,"Coldness is a signal, not a verdict.","He went cold, but panic does not need to lead. Pattern first. Private Love Test in bio.",relationshipadvice;mixedsignals;lovetest;relationshipclarity,https://tianji.love/love-test,Manual repost only. Do not use account automation.,true,pending_manual_review,not_published,,0,0,0,Manual repost only after TikTok 01 review.
day-002-overseas::day002-yt-01,assets/marketing/daily/day-002-overseas-publishing-pack.md,2026-06-10,late_evening,youtube_shorts,youtube,day002-yt-01,short_video_repost,He went cold? Look at the pattern first,Stop rereading the chat for one second.,Private inputs. Share-safe result. No birth data.,relationshipadvice;lovetest;overthinking;datingadvice,https://tianji.love/love-test,Manual repost only. Do not use account automation.,true,pending_manual_review,not_published,,0,0,0,Manual repost only after TikTok 02 review.
day-003-demand::day003-tt-01,assets/marketing/daily/day-003-demand-publishing-pack.md,2026-06-20,morning,tiktok,tiktok,day003-tt-01,short_video,"Bad texter, bad sign, or missing context?","Bad texter, bad sign, or just missing context?","Bad texter, bad sign, or missing context? Pattern first. Private Love Test in bio.",relationshipadvice;textinganxiety;mixedsignals;lovetest;relationshipclarity,https://tianji.love/love-test,Use synthetic or abstract phone UI only. Do not show real messages.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 003 checklist is clear.
day-003-demand::day003-tt-02,assets/marketing/daily/day-003-demand-publishing-pack.md,2026-06-20,noon,tiktok,tiktok,day003-tt-02,short_video,Do not let a typing indicator run your mood,Do not let a typing indicator become your whole mood.,"If one indicator changes your whole mood, pause before action.",textinganxiety;overthinking;datingadvice;lovetest;privatetest,https://tianji.love/love-test,Use abstract typing dots. Do not show real chats.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 003 checklist is clear.
day-003-demand::day003-ig-01,assets/marketing/daily/day-003-demand-publishing-pack.md,2026-06-20,afternoon,instagram_reels,instagram,day003-ig-01,short_video,Mixed signals are the middle,"Mixed signals are usually the middle of the story, not the final page.","Ambiguity needs a boundary, not a spiral.",mixedsignals;relationshipclarity;relationshipboundaries;lovetest,https://tianji.love/love-test,Use text cards only. Do not imply a real user story.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 003 checklist is clear.
day-003-demand::day003-yt-01,assets/marketing/daily/day-003-demand-publishing-pack.md,2026-06-20,evening,youtube_shorts,youtube,day003-yt-01,short_video,The safest next text,The safest next text starts with knowing what you actually need.,Know the need before the next text.,shoulditextthem;textinganxiety;datingadvice;lovetest,https://tianji.love/love-test,Use typed-and-deleted synthetic message animation. Do not show real chats.,true,pending_manual_review,not_published,,0,0,0,Manual publish only after Day 003 checklist is clear.
day-003-demand::day003-seo-01,assets/marketing/daily/day-003-demand-publishing-pack.md,2026-06-20,late_evening,seo,seo,day003-seo-01,keyword_outline,Compatibility Is Not a Photo Score,"Compatibility is not a photo score. Look at rhythm, effort, and repair.","Private Love Test: pattern first, no photo score.",airelationship;compatibilitytest;lovetest;relationshipclarity,https://tianji.love/love-test,SEO draft outline only. Do not publish without review.,true,pending_manual_review,not_published,,0,0,0,Manual SEO review only.
