publish_date,channel,content_id,content_type,title,hook,body_or_script,caption,hashtags,cta_url,asset_note,review_status,publish_status,published_url,impressions,clicks,love_test_starts,notes
2026-05-24,xiaohongshu,day001-xhs-01,post,"What are they thinking now?","Stop rereading the chat. Map the relationship pattern first.","A reflective post for ambiguous relationship moments. It positions Love Test as a private pattern map before asking what the other person may be thinking.","Private Love Test first, one focused question later.","#love-test;#relationship-clarity;#ambiguous-relationship","https://tianji.love/love-test","Use blurred chat-style visual plus result-card mock; never show private chats.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no platform automation."
2026-05-24,xiaohongshu,day001-xhs-02,post,"Should I reach out first?","Want to send the message? Check your motive first.","A post about separating expression from reassurance-seeking before acting in an ambiguous relationship.","Act from clarity, not panic.","#love-test;#timing;#relationship-boundaries","https://tianji.love/love-test","Use message draft visual; do not encourage chasing or pressure.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no platform automation."
2026-05-24,xiaohongshu,day001-xhs-03,post,"Why does this relationship drain me?","Maybe you are not too sensitive. Maybe the pattern is not stable enough.","A self-reflection post for users who feel pulled by a connection and need a non-diagnostic way to name the pattern.","See the pattern before blaming yourself.","#love-test;#emotional-clarity;#self-reflection","https://tianji.love/love-test","Keep tone gentle; avoid diagnosis language and private story requests.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no platform automation."
2026-05-24,douyin,day001-dy-01,short_video,"Is their coldness a sign?","Coldness is a signal, not a verdict.","Short video script: show a slow reply pattern, then zoom out to rhythm, timing, and safety. End with Love Test as the first step.","Do not judge the whole relationship from one cold reply.","#love-test;#relationship-pattern;#cold-reply","https://tianji.love/love-test","15-20 seconds; use blurred screen and no real chats.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no account credentials."
2026-05-24,douyin,day001-dy-02,short_video,"When should I contact them?","Before pressing send, pause for three seconds.","Short video script: message typed and deleted; voiceover asks whether the user is expressing something real or seeking reassurance.","First steady yourself, then decide the next move.","#love-test;#timing;#message-draft","https://tianji.love/love-test","Use hand close-up and draft text; avoid manipulative advice.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no platform automation."
2026-05-24,videohao,day001-vh-01,short_video,"Uncertainty is what exhausts people","The hardest adult relationships are often not loveless. They are unclear.","Mature video script for 25+ users: a night desk scene, phone face down, and Love Test framed as a relationship mirror, not a command.","A private mirror for unclear relationship patterns.","#love-test;#relationship-mirror;#private-reflection","https://tianji.love/love-test","35-45 seconds; slow voice, warm lighting, no outcome promises.",pending_manual_review,not_published,,0,0,0,"Manual publishing only; no platform automation."
2026-05-24,share_card,day001-share-01,caption,"Share caption 01","Some relationships do not need a verdict tonight.","Caption for result/share-card distribution after Love Test.","Some relationships do not need a verdict tonight. They need a little more clarity.","#love-test;#share-card","https://tianji.love/love-test","Use with generated share-card only; do not attach private input.",pending_manual_review,not_published,,0,0,0,"Manual publishing or user share only."
2026-05-24,share_card,day001-share-02,caption,"Share caption 02","Not fortune-telling, a relationship mirror.","Caption for reflective share-card use.","My Love Test result felt less like fortune-telling and more like a mirror.","#love-test;#relationship-clarity","https://tianji.love/love-test","Avoid certainty language.",pending_manual_review,not_published,,0,0,0,"Manual publishing or user share only."
2026-05-24,share_card,day001-share-03,caption,"Share caption 03","If you are stuck in maybe, pause first.","Caption for users in ambiguous relationships.","A small test for anyone stuck between maybe and what now.","#love-test;#ambiguous-relationship","https://tianji.love/love-test","Do not imply guaranteed answer.",pending_manual_review,not_published,,0,0,0,"Manual publishing or user share only."
2026-05-24,share_card,day001-share-04,caption,"Share caption 04","A little clearer, not certain.","Caption for soft emotional share-card use.","This result is not certainty. It is a cleaner place to think from.","#love-test;#self-reflection","https://tianji.love/love-test","Keep first action free.",pending_manual_review,not_published,,0,0,0,"Manual publishing or user share only."
2026-05-24,share_card,day001-share-05,caption,"Share caption 05","Do not let anxiety write the next step.","Caption for saving or reposting the result card.","This card reminded me: do not let anxiety write the next step.","#love-test;#relationship-boundaries","https://tianji.love/love-test","No private answers or user data.",pending_manual_review,not_published,,0,0,0,"Manual publishing or user share only."
2026-05-24,kol,day001-kol-01,dm_template,"Free reading invite","Would you try the free Love Test and share honest feedback?","DM template for creators: invite free flow review only, no pressure to endorse or post.","Honest feedback requested; no testimonial required.","#creator-outreach;#love-test","https://tianji.love/love-test","Manual DM only; no automated account use.",pending_manual_review,not_published,,0,0,0,"Requires manual send and permission tracking."
2026-05-24,kol,day001-kol-02,dm_template,"Honest feedback request","Does the copy feel safe, useful, and non-manipulative?","DM template for creators focused on boundaries and relationship clarity. Requests critical feedback, not endorsement.","Critical feedback only, no fake testimonial.","#creator-feedback;#love-test","https://tianji.love/love-test","Manual DM only; do not imply payment or user numbers.",pending_manual_review,not_published,,0,0,0,"Requires manual send and permission tracking."
2026-05-24,seo,day001-seo-01,keyword_outline,"Libra woman and Sagittarius man compatibility","Use astrology curiosity as a reflective entry, not a relationship verdict.","SEO outline: attraction, communication rhythm, boundary reminders, and Love Test as a privacy-safe next step.","Use the test as reflection, not fate.","#seo;#compatibility;#love-test","https://tianji.love/love-test","Draft only; not a published page.",pending_manual_review,not_published,,0,0,0,"SEO outline requires manual page review."
2026-05-24,seo,day001-seo-02,keyword_outline,"What to do when an ambiguous partner suddenly turns cold","Observe the whole pattern before reacting.","SEO outline: coldness timing, one-off versus repeated patterns, when to express, when to pause.","Coldness is a signal, not a verdict.","#seo;#ambiguous-relationship;#love-test","https://tianji.love/love-test","Draft only; avoid fear-based claims.",pending_manual_review,not_published,,0,0,0,"SEO outline requires manual page review."
2026-05-24,seo,day001-seo-03,keyword_outline,"Are they still thinking about me?","Sort relationship signals before seeking reassurance.","SEO outline: thoughts versus actions, unfinished feelings, communication signals, and a safe next step.","Do not claim to know their mind with certainty.","#seo;#relationship-clarity;#love-test","https://tianji.love/love-test","Draft only; no mind-reading claim.",pending_manual_review,not_published,,0,0,0,"SEO outline requires manual page review."
